State Abbreviation,Average Household Income 2020/2021,"Percent Change in Household Income, 1984-2019","Average Yearly Percent Change in Household Income, 1984-2019",MinWage,City,Average House Price 2020/2021,"Percent Change in Housing Prices, 2000-2019","Average Yearly Percent Change in Housing Prices, 2000-2019",County Name,Violent Crime Total,Property Crime Total,Property Crime Per Capita,Violent Crime Per Capita,Total Crime Per Capita,State Name,TotalPop,Men,Women,VotingAgeCitizen,Employed,TractId,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Population
CA,81426.5,31.42376272,0.872882298,14,Salinas,581194.5833,105.0385951,5.251929756,Monterey County,866,3481,0.022316391,0.005551851,0.027868243,California,433168,221016,212152,231733,182439,6053030181,52.27,36.14,2.4,0.24,5.59,0.45,67686.03,29592.76,14.77,18.76,31.01,20.18,19.82,18.85,10.13,70.48,10.37,1.55,3.64,8.73,5.22,22.03,74.37,15.68,9.78,0.18,6.19,155662
MA,89239,38.43026286,1.067507302,14.25,Springfield,205667.8333,76.17219313,3.808609656,Hampden County,1462.5,3666,0.023870222,0.009522522,0.033392744,Massachusetts,469188,226391,242797,350837,215324,25013808301,27.15,60.81,7.93,0.12,2.14,0.02,53488.91,27083.72,19.28,26.12,32.25,23.37,23.87,7.36,13.15,79.56,8.66,2.76,4.09,1.47,3.47,22.08,80.75,14.63,4.52,0.11,9.17,153703
TX,69501.5,24.64076451,0.684465681,7.25,Pasadena,180053.9167,88.46793704,4.423396852,Harris County,902.5,3599.5,0.023932927,0.006001558,0.029934485,Texas,4525519,2251060,2274459,2605043,2180392,48201396160,42.3,31,18.62,0.17,6.33,0.05,63254.7,32015.79,18.09,25.1,33.78,17.97,22.49,12.52,13.24,78.45,11.04,3.04,1.78,2.02,3.66,28.15,83.42,9.68,6.74,0.15,6.73,152735
CO,86321.5,19.56240955,0.543400265,12.56,Fort Collins,459767.875,111.7604691,5.588023454,Larimer County,515,3509,0.020551235,0.003016211,0.023567446,Colorado,330976,164920,166056,254898,172754,8069001439,11.58,82.9,0.9,0.47,1.92,0.07,65027.64,33722.66,15.06,13.61,43.39,17.83,22.09,8.14,8.56,72.64,8.69,1.4,3.64,5.67,7.95,22.75,76.59,16.8,6.4,0.21,5.1,152061
CA,81426.5,31.42376272,0.872882298,14,Hayward,755454.9167,154.2085296,7.710426479,Alameda County,528,5350,0.033252326,0.003281725,0.036534051,California,1629615,799649,829966,1056116,826310,6001433308,21.68,33.9,11.72,0.31,26.84,0.77,91677,42258.87,11.91,13.3,48.03,16.27,20.26,6.24,9.2,60.58,10.22,15.16,4.01,3.88,6.14,32.14,78.6,13.66,7.61,0.14,6.26,151574
CA,81426.5,31.42376272,0.872882298,14,Pomona,505393.75,179.46287,8.9731435,Los Angeles County,780,4759,0.031312919,0.005132187,0.036445105,California,10105722,4979641,5126081,6218279,4805817,6037408065,47.87,27.19,7.77,0.28,14.16,0.24,66053.55,31389.41,17.32,22.19,35.24,19.39,24.14,7.92,13.32,73,9.66,6.74,2.89,2.34,5.36,30.99,79.32,11.2,9.32,0.16,7.91,151348
NC,63071.5,26.51571345,0.736547596,7.25,Cary,430026.875,63.21427812,3.160713906,Wake County,123,1680.5,0.009542792,0.000698204,0.010240995,North Carolina,1023811,497677,526134,699342,536376,37183063104,9.23,63.37,18.27,0.27,6.31,0.05,81053.11,38765.32,10.46,13.54,50.77,13.75,23.11,5.8,6.56,79.05,8.53,1.29,1.51,1.42,8.21,24.45,80.85,14.13,4.93,0.1,4.9,151088
IL,78529,33.27867744,0.924407707,12,Rockford,107580.1667,13.00740467,0.650370233,Winnebago County,2155.5,3838.5,0.026575684,0.014927257,0.041502942,Illinois,287512,140454,147058,208295,132190,17201014977,13.75,65.77,14.53,0.15,2.54,0.01,49320.22,25646.38,19.64,24.46,27.35,19.66,24.44,6.83,21.73,81.67,9.66,1.9,1.95,1.48,3.34,21.8,85.25,9.88,4.71,0.15,11.73,150251
CA,81426.5,31.42376272,0.872882298,14,Escondido,618521.4583,129.9935826,6.499679128,San Diego County,557,2670.5,0.0176294,0.003676782,0.021306181,California,3283665,1651147,1632518,2207599,1536073,6073014114,33.23,47.5,4.68,0.37,10.43,0.38,75402.8,34856.11,13.41,16.07,40.1,20.1,23.09,8.08,8.64,76.05,8.87,3.28,2.52,2.25,7.02,25.85,77.07,14.65,8.09,0.19,7.25,148738
TX,69501.5,24.64076451,0.684465681,7.25,McKinney,375467.9583,71.48801403,3.574400701,Collin County,278.5,1941.5,0.009116685,0.001307779,0.010424464,Texas,914075,448915,465160,584404,474671,48085031221,14.95,59.03,8.99,0.3,13.89,0.08,95178.67,42886.86,7.08,8.47,53.07,12.15,24.13,5.04,5.6,81.21,7,1.07,0.84,1.26,8.62,28.24,84.13,9.46,6.27,0.15,4.22,148559
KS,76237,26.37833784,0.732731607,7.25,Kansas City,135883.3333,,,Wyandotte County,,,,,,Kansas,163227,80545,82682,98805,73215,20209043046,27.95,38.62,26.18,0.4,3.79,0.08,41461.71,19291.76,23.42,31.96,21.17,22.71,22.25,13.04,20.82,79.32,13.9,1.6,1.67,0.78,2.74,21.84,84.45,10.8,4.57,0.19,9.56,148483
IL,78529,33.27867744,0.924407707,12,Joliet,166977.7083,36.86225479,1.84311274,Will County,,,,,,Illinois,687727,341719,346008,472786,342710,17197883157,17.71,64.24,12.15,0.09,3.83,0.01,79863.49,32166,8.85,12.95,33.49,17.08,24.39,9.48,15.58,84.4,6.16,3.55,0.87,1.23,3.79,31.8,85.59,11.03,3.28,0.1,6.62,147806
CA,81426.5,31.42376272,0.872882298,14,Sunnyvale,1785688.458,201.3022213,10.06511107,Santa Clara County,229,3178,0.020618557,0.00148573,0.022104287,California,1911226,963317,947909,1162019,967294,6085506672,25.79,33.85,2.4,0.16,33.83,0.35,113117.5,49516.09,8.76,9.55,51.96,14.97,18.68,6.49,7.9,75.05,10.46,4.25,2.13,3.06,5.06,28.03,84.24,9.46,6.19,0.11,5.72,147559
CA,81426.5,31.42376272,0.872882298,14,Torrance,945303,156.8474791,7.842373955,Los Angeles County,274,2935,0.020464228,0.001910459,0.022374687,California,10105722,4979641,5126081,6218279,4805817,6037408065,47.87,27.19,7.77,0.28,14.16,0.24,66053.55,31389.41,17.32,22.19,35.24,19.39,24.14,7.92,13.32,73,9.66,6.74,2.89,2.34,5.36,30.99,79.32,11.2,9.32,0.16,7.91,147478
CT,82049.5,24.00900841,0.6669169,13,Bridgeport,236828.4583,76.12128793,3.806064396,Fairfield County,814.5,2345,0.016295488,0.00566101,0.021956498,Connecticut,947328,461380,485948,624588,474458,9001091470,19.38,62.27,10.89,0.15,4.96,0.03,100308.19,54353.59,9.45,11.3,44.79,18.28,22.6,7.11,7.21,70.66,7.97,11.25,2.79,1.12,6.21,30.9,81.69,9.92,8.24,0.16,7.93,147216
CO,86321.5,19.56240955,0.543400265,12.56,Lakewood,498275.7917,129.7620746,6.488103732,Jefferson County,995.5,8302,0.052103771,0.006248718,0.058352489,Colorado,564029,280635,283394,430864,305799,8059026211,14.9,78.91,1.06,0.51,2.54,0.06,80653.47,40134.15,7.77,9.88,45.87,14.78,24.27,7.57,7.52,77.99,7.7,3.29,1.5,1.51,8.01,27.5,79.95,13.34,6.55,0.16,4.38,147214
FL,60097,25.52712219,0.709086727,10,Hollywood,322912.8333,156.6283087,7.831415435,Broward County,542,3316,0.021197438,0.00346472,0.024662158,Florida,1890416,920265,970151,1247710,930561,12011061968,26.34,42.24,25.88,0.15,3.05,0.04,59975.03,31633.87,14.36,18.37,35.33,20.32,27.24,8.42,8.7,79.2,8.81,3.04,1.45,2.3,5.2,27.87,82.96,10.38,6.5,0.16,7.72,146526
NJ,89051,34.3871061,0.955197392,13,Paterson,341437.1667,81.78648063,4.089324031,Passaic County,1433,2160,0.014901999,0.009886372,0.024788371,New Jersey,510563,248308,262255,327162,238552,34031185102,42.04,39.62,11.86,0.16,4.99,0.02,64874.37,28056.13,18.95,24.47,29.35,17.9,23.87,7.81,21.06,66.9,13.03,10.11,3.96,2.18,3.82,27.26,85.64,10.21,4.01,0.13,6.18,145948
IL,78529,33.27867744,0.924407707,12,Naperville,416859.625,50.01239784,2.500619892,DuPage County,,,,,,Illinois,931826,457327,474499,646717,486850,17043843615,13.81,68.36,4.35,0.06,11.31,0.03,90952.52,42366.41,6.68,8.44,46.04,12.76,25.55,5.35,10.29,77.3,7.01,6.9,1.61,1.08,6.1,29.32,86.56,9.17,4.11,0.17,5.17,144864
NY,72392.5,38.80352163,1.077875601,13.2,Syracuse,136928.1667,61.14890498,3.057445249,Onondaga County,1192,4009,0.028230208,0.008393716,0.036623923,New York,467669,225685,241984,351788,223207,36067015994,5.61,72.54,13.42,0.55,4.5,0.03,57319.27,30033.43,18.6,23.2,39.23,19.34,24.95,6.61,9.88,75.17,8.14,5.46,5.88,1.37,3.99,19.73,79.88,15.51,4.52,0.07,7.49,144669
TX,69501.5,24.64076451,0.684465681,7.25,Mesquite,211487.3333,99.25572747,4.962786374,Dallas County,670.5,4884.5,0.03499456,0.004809802,0.039804363,Texas,2552213,1257751,1294462,1473599,1252101,48113016322,38.36,32.8,20.92,0.18,5.76,0.04,62102.28,32992.27,17.72,25.54,33.43,17.86,23.81,11.88,13.02,77.83,11.08,3.19,1.51,2.04,4.36,26.95,84.34,8.8,6.7,0.17,5.97,143484
OH,62943.5,18.98907815,0.527474393,9.3,Dayton,84329.83333,23.41169213,1.170584606,Montgomery County,1484,5216,0.037273045,0.010604668,0.047877713,Ohio,531987,256138,275849,402538,241114,39113055352,2.72,67.95,24.28,0.2,1.72,0.03,48805.41,26662.1,20.18,29.39,34.69,20.57,22.83,6.52,15.4,81.76,8.46,3.25,2.37,1.01,3.15,21.47,81.8,13.43,4.59,0.17,8.92,143355
GA,61765,20.57139413,0.571427615,7.25,Savannah,201697.2083,56.61692972,2.830846486,Chatham County,,,,,,Georgia,285506,137781,147725,212500,132386,13051033786,5.44,46.21,43.88,0.19,2.1,0.1,48135.32,27028.71,22.35,31.66,33.68,23.49,23.11,7.52,12.19,73.25,9.92,3.8,4.46,3.73,4.84,20.44,80.69,13.78,5.33,0.18,9.9,142772
TN,59854,43.57385521,1.210384867,7.25,Clarksville,218950.875,56.29591725,2.814795863,Montgomery County,962,3565.5,0.02191267,0.005912668,0.027825339,Tennessee,192120,96196,95924,136485,77722,47125123815,9.65,63.42,19.84,0.51,2.07,0.41,52009.87,24245.87,16.68,21.96,30.4,19.64,24.05,10.06,15.82,84.67,6.94,1.18,2.77,1.61,2.83,24.07,72.18,22.56,5.08,0.18,8.11,142357
CA,81426.5,31.42376272,0.872882298,14,Orange,788766.875,151.8563526,7.592817632,Orange County,180,2396,0.017256529,0.0012964,0.018552929,California,3155816,1558245,1597571,2021028,1560997,6059067548,32.62,44.35,1.55,0.22,18.09,0.31,86921.18,38987.37,11.36,13.84,41.08,17.18,25.13,6.7,9.9,78.6,9.56,2.09,1.95,1.98,5.82,27.51,81.24,10.58,7.98,0.2,5.85,139969
CA,81426.5,31.42376272,0.872882298,14,Pasadena,955398.75,203.1954709,10.15977355,Los Angeles County,414,3021,0.021353898,0.002926353,0.024280251,California,10105722,4979641,5126081,6218279,4805817,6037408065,47.87,27.19,7.77,0.28,14.16,0.24,66053.55,31389.41,17.32,22.19,35.24,19.39,24.14,7.92,13.32,73,9.66,6.74,2.89,2.34,5.36,30.99,79.32,11.2,9.32,0.16,7.91,139731
CA,81426.5,31.42376272,0.872882298,14,Fullerton,737606.625,148.954282,7.4477141,Orange County,422,3337,0.024005295,0.003035731,0.027041026,California,3155816,1558245,1597571,2021028,1560997,6059067548,32.62,44.35,1.55,0.22,18.09,0.31,86921.18,38987.37,11.36,13.84,41.08,17.18,25.13,6.7,9.9,78.6,9.56,2.09,1.95,1.98,5.82,27.51,81.24,10.58,7.98,0.2,5.85,138981
TX,69501.5,24.64076451,0.684465681,7.25,Killeen,159141.375,,,Bell County,963,2670,0.017034471,0.006143893,0.023178364,Texas,336506,168147,168359,231161,135361,48027066191,24.89,47.09,20.94,0.28,2.34,0.84,51291.27,23611.41,16.78,24.42,30.07,21.06,26.31,10.03,12.53,79.57,12.32,0.49,2.77,1.52,3.32,20.15,71.85,23.1,4.92,0.13,8.76,137147
TX,69501.5,24.64076451,0.684465681,7.25,Frisco,474924.0833,71.61966364,3.580983182,Collin County,197,2035.5,0.009365615,0.000904669,0.010270285,Texas,914075,448915,465160,584404,474671,48085031221,14.95,59.03,8.99,0.3,13.89,0.08,95178.67,42886.86,7.08,8.47,53.07,12.15,24.13,5.04,5.6,81.21,7,1.07,0.84,1.26,8.62,28.24,84.13,9.46,6.27,0.15,4.22,136791
TX,69501.5,24.64076451,0.684465681,7.25,McAllen,163133.3333,,,Hidalgo County,191,2703,0.018671751,0.001318672,0.019990423,Texas,839539,410383,429156,403944,313678,48215030809,91.39,7.06,0.41,0.07,0.9,0.02,37108.78,15844.86,32.24,44.42,25.9,24.6,25.24,13.22,11.05,79.74,8.78,0.33,1.18,4.7,5.26,21.78,71.64,16.54,11.66,0.16,8.18,136639
MI,65943.5,18.8016854,0.522269039,9.87,Warren,152856.9583,32.94231322,1.647115661,Macomb County,694,2039,0.015295009,0.005205447,0.020500456,Michigan,864019,420439,443580,645252,414453,26099260619,2.61,78.88,12.18,0.25,3.72,0.03,57919.26,28405.07,13.89,18.34,31.49,18.63,24.43,7.78,17.67,86.33,8.27,0.99,1.06,0.95,2.4,26.78,87.31,8.61,3.93,0.15,7.37,134873
WA,86402.5,40.24041857,1.117789405,14.49,Bellevue,1142345.292,185.3510098,9.26755049,King County,180.5,4864,0.032347739,0.001200351,0.033548091,Washington,2118119,1058695,1059424,1459791,1140353,53033023022,9.37,62.08,5.95,0.51,15.95,0.8,89396.07,46201.38,10.42,11.87,49.82,15.35,20.12,5.79,8.91,64.09,9.58,12.54,4.55,2.59,6.66,29.24,81.59,12.27,5.98,0.16,5.09,133992
UT,87782,55.97889494,1.554969304,7.25,West Valley City,360761.375,91.08018401,4.5540092,Salt Lake County,,,,,,Utah,1106700,555589,551111,718732,564689,49035114540,17.24,72.59,1.68,0.71,3.91,1.45,72047.07,31394.6,11.15,13.42,39.51,14.93,26,7.71,11.84,74.44,11.42,4.09,2.52,2.01,5.53,21.69,82.02,13.18,4.66,0.14,4.32,133579
SC,62850.5,29.95729706,0.832147141,7.25,Columbia,164539.9167,29.34429952,1.467214976,Richland County,978,5717,0.043307981,0.007408396,0.050716376,South Carolina,404869,196424,208445,305703,191869,45079019165,4.55,42.32,48.06,0.15,2.45,0.09,50402.19,27455.88,22.12,27.95,36.32,21.87,24.95,5.43,11.44,76.57,7.71,1.95,5.62,3.58,4.56,20.67,74.05,21.64,4.24,0.07,9.14,133358
KS,76237,26.37833784,0.732731607,7.25,Olathe,310368.5833,,,Johnson County,352,1818,0.012686052,0.002456265,0.015142317,Kansas,578797,283504,295293,409010,312189,20091073979,7.69,80.19,4.67,0.22,4.68,0.04,86600.61,42539.98,6.18,7.32,50.18,12.96,24.14,4.99,7.72,84.76,7.08,0.33,0.95,0.97,5.91,20.7,84.18,10.38,5.32,0.13,3.57,131885
MI,65943.5,18.8016854,0.522269039,9.87,Sterling Heights,237821.7083,33.93995887,1.696997943,Macomb County,236.5,1127.5,0.008520281,0.001787327,0.010307608,Michigan,864019,420439,443580,645252,414453,26099260619,2.61,78.88,12.18,0.25,3.72,0.03,57919.26,28405.07,13.89,18.34,31.49,18.63,24.43,7.78,17.67,86.33,8.27,0.99,1.06,0.95,2.4,26.78,87.31,8.61,3.93,0.15,7.37,131224
CT,82049.5,24.00900841,0.6669169,13,New Haven,216499.6667,74.94933715,3.747466857,New Haven County,867.5,4420,0.033846464,0.006643369,0.040489833,Connecticut,862127,415863,446264,636398,425229,9009220646,18.7,62.36,12.64,0.09,3.85,0.01,68865.67,34671.24,13.35,16.58,39.74,18.77,23.41,7.09,10.99,76.26,8.9,4.9,4.42,1.37,4.15,24.75,81.24,12.75,5.78,0.23,8.4,130660
FL,60097,25.52712219,0.709086727,10,Miramar,357792.5417,127.6918773,6.384593864,Broward County,349,1500,0.010455147,0.002432564,0.012887712,Florida,1890416,920265,970151,1247710,930561,12011061968,26.34,42.24,25.88,0.15,3.05,0.04,59975.03,31633.87,14.36,18.37,35.33,20.32,27.24,8.42,8.7,79.2,8.81,3.04,1.45,2.3,5.2,27.87,82.96,10.38,6.5,0.16,7.72,130288
TX,69501.5,24.64076451,0.684465681,7.25,Waco,164425.9167,,,McLennan County,968,4814,0.033910576,0.006814834,0.04072541,Texas,245720,119894,125826,170837,112592,48309021656,26.11,55.14,15.48,0.2,1.46,0.02,48354.06,22967.58,21.49,26.92,30.75,19.73,24.67,11.13,13.73,81.47,10.69,0.5,2.63,1.3,3.42,18.94,81.83,12.35,5.62,0.2,5.69,129030
CA,81426.5,31.42376272,0.872882298,14,Thousand Oaks,813668.625,118.4112945,5.920564723,Ventura County,76,1315,0.010368782,0.00059926,0.010968042,California,847834,419536,428298,551510,410179,6111016146,40.36,48.16,1.68,0.32,6.54,0.16,85119.57,36721.42,10.4,13.03,37.72,17.09,23.28,11.87,10.04,77.76,11.3,1.25,2.05,1.51,6.14,26.56,77.35,13.75,8.73,0.16,6.56,128731
IA,72229.5,41.49822122,1.152728367,7.25,Cedar Rapids,158335.7917,42.7118118,2.13559059,Linn County,448.5,3954,0.029391273,0.003333231,0.032724505,Iowa,220008,108534,111474,163168,117384,19113002974,3.13,86.24,5.51,0.14,2.1,0.08,61322.38,31319.67,10.89,14.14,36.23,16.26,24.84,8.82,13.82,83.54,8.85,0.96,2.27,1.28,3.11,18.8,85.84,9.31,4.65,0.19,4.05,128429
SC,62850.5,29.95729706,0.832147141,7.25,Charleston,377333.2083,100.2516439,5.012582195,Charleston County,634,3195.5,0.022718093,0.004507998,0.027226091,South Carolina,387847,187854,199993,299639,195823,45019014615,4.72,61.53,30.25,0.18,1.25,0.07,60277.56,36515.54,18.16,23.21,39.55,20.51,23.24,7.69,9.02,75.39,8.03,2.06,4.68,3.69,6.14,22.35,77.51,16.07,6.25,0.17,5.7,127999
CA,81426.5,31.42376272,0.872882298,14,Visalia,286547.2917,97.35195563,4.867597781,Tulare County,555,3077,0.022669506,0.00408891,0.026758415,California,458809,229488,229321,249667,173820,6107002176,62.58,30.6,1.49,0.72,2.76,0.16,44596.18,18802.5,27.71,35.06,22.87,18.33,19.76,23.38,15.66,76.46,14.53,2.01,1.74,2.43,2.83,22.73,78.49,14.87,6.4,0.24,10.8,127763
KS,76237,26.37833784,0.732731607,7.25,Topeka,134656.75,41.31528369,2.065764184,Shawnee County,,,,,,Kansas,178392,86487,91905,130844,84423,20177002424,13.16,71.56,9.14,0.65,1.14,0.04,52844.6,27181.93,15.23,19.43,35.16,18.6,23.74,8.78,13.74,81.46,10.39,1.16,2.3,1.95,2.75,17.74,76.97,18.85,4.06,0.1,5.99,127679
NJ,89051,34.3871061,0.955197392,13,Elizabeth,341723.0417,72.6968539,3.634842695,Union County,709,2936.5,0.022277406,0.00538864,0.027666046,New Jersey,557320,271607,285713,352205,278003,34039035040,31.43,39.15,21.31,0.08,4.62,0.01,81203.01,37057.52,10.74,14.38,35.69,17.7,23.96,7.41,15.25,67.98,8.19,11.64,2.96,5.56,3.67,30.85,83,12.81,4.06,0.14,7.62,127558
FL,60097,25.52712219,0.709086727,10,Gainesville,221142.5417,77.07604931,3.853802466,Alachua County,1042,4297,0.031811721,0.007714176,0.039525897,Florida,259865,125712,134153,200490,120466,12001003487,9.14,61.45,20.66,0.31,5.75,0.06,46334.84,26023.82,26.02,25.02,44.32,20.39,23.32,5.33,6.64,72.41,8.42,4.88,4.69,5.02,4.6,20.61,69.44,26.13,4.33,0.09,7.27,127488
CO,86321.5,19.56240955,0.543400265,12.56,Thornton,441353.6667,95.14654101,4.75732705,Adams County,437.5,4754,0.032161611,0.00295933,0.035120941,Colorado,487850,245840,242010,306416,246450,8001021181,39.98,50.52,2.84,0.5,3.99,0.11,66066.82,27380.06,12.81,16.67,28.96,19.2,23.67,14.47,13.71,77.03,11.41,4,1.45,1.11,5,28.88,83.93,10.83,5.13,0.11,5.19,127359
CA,81426.5,31.42376272,0.872882298,14,Roseville,536534.2083,102.6110775,5.130553877,Placer County,277,2843,0.019725522,0.001921903,0.021647425,California,374985,183021,191964,275790,170791,6061032845,13.2,76.13,1.23,0.35,5.47,0.16,82083.36,39896.9,9.03,10.16,43.22,16.45,25.8,8.02,6.52,78,7.78,1.62,1.73,1.9,8.99,26.7,74.89,14.98,9.92,0.22,5.7,127035
TX,69501.5,24.64076451,0.684465681,7.25,Carrollton,317112.875,93.08926214,4.654463107,Dallas County,216,1934,0.013649131,0.001524412,0.015173543,Texas,2552213,1257751,1294462,1473599,1252101,48113016322,38.36,32.8,20.92,0.18,5.76,0.04,62102.28,32992.27,17.72,25.54,33.43,17.86,23.81,11.88,13.02,77.83,11.08,3.19,1.51,2.04,4.36,26.95,84.34,8.8,6.7,0.17,5.97,126700
FL,60097,25.52712219,0.709086727,10,Coral Springs,387691.3333,141.9099945,7.095499727,Broward County,164,1664,0.012323461,0.001214572,0.013538033,Florida,1890416,920265,970151,1247710,930561,12011061968,26.34,42.24,25.88,0.15,3.05,0.04,59975.03,31633.87,14.36,18.37,35.33,20.32,27.24,8.42,8.7,79.2,8.81,3.04,1.45,2.3,5.2,27.87,82.96,10.38,6.5,0.16,7.72,126604
CT,82049.5,24.00900841,0.6669169,13,Stamford,526953.5833,,,Fairfield County,264,1756,0.013273667,0.001995586,0.015269253,Connecticut,947328,461380,485948,624588,474458,9001091470,19.38,62.27,10.89,0.15,4.96,0.03,100308.19,54353.59,9.45,11.3,44.79,18.28,22.6,7.11,7.21,70.66,7.97,11.25,2.79,1.12,6.21,30.9,81.69,9.92,8.24,0.16,7.93,126456
CA,81426.5,31.42376272,0.872882298,14,Simi Valley,663457.9167,116.7691318,5.838456588,Ventura County,167,1318,0.01048178,0.001328116,0.011809896,California,847834,419536,428298,551510,410179,6111016146,40.36,48.16,1.68,0.32,6.54,0.16,85119.57,36721.42,10.4,13.03,37.72,17.09,23.28,11.87,10.04,77.76,11.3,1.25,2.05,1.51,6.14,26.56,77.35,13.75,8.73,0.16,6.56,126181
CA,81426.5,31.42376272,0.872882298,14,Concord,540982,203.7777824,10.18888912,Contra Costa County,423,3783,0.029083445,0.003251995,0.03233544,California,1123678,548675,575003,743847,535401,6013344766,24.32,46.41,7.87,0.24,15.84,0.42,98316.87,43925.37,9.63,11.62,43.46,17.76,23.13,7.8,7.85,67.34,11.57,10.75,1.76,1.99,6.59,36.47,77.42,13.46,8.95,0.18,6.85,125880
CT,82049.5,24.00900841,0.6669169,13,Hartford,147262.1667,43.39513423,2.169756711,Hartford County,893.5,3197.5,0.026315117,0.007350429,0.033665546,Connecticut,897417,435729,461688,649810,445468,9003477154,18.81,59.35,14.56,0.16,4.8,0.02,73740.98,36394.99,13.28,15.99,40.99,18.05,23.55,6.28,11.14,78.87,8.71,4.63,2.6,1.13,4.06,22.97,81.69,13.22,4.88,0.22,8.24,125017
WA,86402.5,40.24041857,1.117789405,14.49,Kent,502205.9167,104.6770456,5.233852282,King County,497,6006.5,0.045235679,0.003741632,0.048977311,Washington,2118119,1058695,1059424,1459791,1140353,53033023022,9.37,62.08,5.95,0.51,15.95,0.8,89396.07,46201.38,10.42,11.87,49.82,15.35,20.12,5.79,8.91,64.09,9.58,12.54,4.55,2.59,6.66,29.24,81.59,12.27,5.98,0.16,5.09,124435
LA,55391,16.10763852,0.447434403,7.25,Lafayette,181615.375,,,Lafayette Parish,712,5725,0.045192968,0.005620505,0.050813473,Louisiana,238230,116361,121869,175619,119324,22055024144,4.64,61.63,30.23,0.2,1.66,0,52730.69,29211.26,18.83,23.27,33.03,21.26,24.1,10.65,10.96,82.51,9.31,0.93,2.01,2.08,3.16,23.45,81.17,10.9,7.67,0.25,5.3,124276
TX,69501.5,24.64076451,0.684465681,7.25,Midland,265975.9167,,,Midland County,571.5,2686,0.017808409,0.003787296,0.021595705,Texas,159883,80338,79545,103212,80471,48329040474,43.89,46.19,6.23,0.47,1.8,0.05,76919.27,37591.35,8.94,11.43,32.67,15.89,23.53,16.58,11.35,84.54,10.55,0.3,0.73,1.75,2.12,18.99,82.84,9.58,7.38,0.19,3.7,123933
AZ,70520.5,40.35643342,1.121012039,12.8,Surprise,331441.4167,74.50591922,3.725295961,Maricopa County,193,2153,0.014763564,0.001323441,0.016087004,Arizona,4155501,2055464,2100037,2778337,1929015,4013299094,29.54,57.41,4.94,1.76,3.78,0.19,64354.89,30761.27,16.13,21.52,36.47,18.39,26.72,8.7,9.73,75.7,10.83,2.32,1.72,2.67,6.75,25.7,82.69,10.95,6.22,0.14,6.34,123546
TX,69501.5,24.64076451,0.684465681,7.25,Denton,279083.5,83.56261849,4.178130925,Denton County,419,3083,0.020420599,0.002775294,0.023195893,Texas,781321,384390,396931,519933,419189,48121021265,19.56,59.38,9.44,0.26,8.42,0.08,87754.75,37824.64,9.37,11.03,45.82,14.08,25.47,6.12,8.5,80.9,8.26,0.97,1.51,1.38,7,28.25,82.78,11.51,5.51,0.21,4.56,123099
CA,81426.5,31.42376272,0.872882298,14,Victorville,313399.4583,135.3613287,6.768066433,San Bernardino County,1084,1958,0.015907706,0.008806922,0.024714628,California,2121220,1055170,1066050,1332784,869658,6071013381,51.5,31.83,7.36,0.42,6.12,0.3,59249.72,23053.46,18.85,24.98,27.23,19.68,25.14,10.61,17.34,78.48,11.9,1.55,1.8,1.31,4.97,30.52,76.87,16.12,6.86,0.15,10.26,121096
IN,70057.5,24.6279447,0.684109575,7.25,Evansville,148245.9583,,,Vanderburgh County,867,4276,0.036163735,0.007332544,0.043496279,Indiana,181831,87869,93962,139528,86719,18163023586,2.42,82.13,11.36,0.19,0.78,0.2,43199.92,24256.04,21.66,30.89,31.11,19.63,22.49,7.83,18.91,82.68,8.31,2.79,2.69,1.54,2,19.11,88.12,8.28,3.5,0.1,6.35,120310
CA,81426.5,31.42376272,0.872882298,14,Santa Clara,1402532.167,187.1580258,9.357901288,Santa Clara County,206,3301,0.025012123,0.00156089,0.026573013,California,1911226,963317,947909,1162019,967294,6085506672,25.79,33.85,2.4,0.16,33.83,0.35,113117.5,49516.09,8.76,9.55,51.96,14.97,18.68,6.49,7.9,75.05,10.46,4.25,2.13,3.06,5.06,28.03,84.24,9.46,6.19,0.11,5.72,120245
TX,69501.5,24.64076451,0.684465681,7.25,Abilene,154461.2917,,,Taylor County,556,2616,0.021000931,0.004461879,0.02546281,Texas,135371,66258,69113,98253,62872,48441037456,27.11,60.79,8.12,0.49,1.71,0.08,48051.09,23263.16,19.45,23.57,29.08,22.87,23.98,11.7,12.37,78.5,11.08,1.94,2.83,1.04,4.63,16.12,74.35,19.64,5.81,0.21,4.72,120099
CA,81426.5,31.42376272,0.872882298,14,Vallejo,473108.5,113.9807477,5.699037384,Solano County,1212,4078,0.033337148,0.009907951,0.043245099,California,434981,216074,218907,302379,196309,6095259739,25.6,38.94,14.27,0.23,14.44,0.8,74014.54,31596.63,12.11,16.52,32.22,20.82,24.21,10.65,12.1,75.82,13.76,3.35,1.6,1.42,4.06,31.52,74.96,18.5,6.42,0.12,8.61,118837
