,State Abbreviation,State Name,Number of Cities,Average Household Income 2020/2021,"Percent Change in Household Income, 1984-2019","Average Yearly Percent Change in Household Income, 1984-2019",MinWage,Average House Price 2020/2021,"Percent Change in Housing Prices, 2000-2019","Average Yearly Percent Change in Housing Prices, 2000-2019",Violent Crime Total,Property Crime Total,Property Crime Per Capita,Violent Crime Per Capita,Total Crime Per Capita,TotalPop,Men,Women,VotingAgeCitizen,Employed,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Population
10,HI,Hawaii,1,0.928901655,-0.184193894,-0.184193894,-0.248645684,1.187891585,0.491061952,0.491061952,0.566222521,2.79453935,0.341100721,-0.575048585,0.140968414,-0.218116788,-0.207206874,-0.228688547,-0.182736024,-0.224651729,-0.687413501,-1.818906628,-0.792171326,-0.244480601,5.430368728,21.1328377,1.136811505,0.451379297,-1.159047419,-1.226987923,0.13460293,0.838521931,0.448560329,-0.107464999,-1.012121023,-1.749829239,2.557460066,0.648799637,2.192481708,1.974760281,-0.567190731,0.465852775,-2.276121658,2.411507379,0.061521123,0.071967023,-1.079112791,0.62018792
11,IA,Iowa,13,-0.152091692,1.156884172,1.156884172,-1.263387054,-0.658483367,-0.644164858,-0.644164858,-0.161913484,-0.16456945,0.025561993,-0.13913034,-0.012824389,-0.552783722,-0.5519922,-0.553511921,-0.567601313,-0.543802604,-0.806261386,1.138543927,-0.43590581,-0.116881749,-0.436834213,-0.068340758,-0.452182495,-0.354288417,0.009048229,-0.390501938,-0.27490624,-0.211874292,-0.074697503,-0.144377278,0.814690361,0.467917579,-0.460809028,-0.370925542,0.601630096,-0.290749729,-0.727717964,-1.559485642,0.251660578,0.108988137,-0.861517045,-0.654864974,-0.904471106,-0.146730933
12,ID,Idaho,7,-0.040798733,0.206562567,0.206562567,-1.263387054,-0.197377103,0.403875855,0.403875855,-0.209525469,-0.302710894,-0.706517123,-0.218746689,-0.636259458,-0.576287707,-0.574836895,-0.577654016,-0.59773178,-0.582349349,-0.393429126,1.18051476,-0.932607902,0.360309725,-0.794859942,-0.088602833,-0.779785105,-0.94983879,0.091553203,0.102209418,-0.600355421,-0.154709871,0.22926833,1.121419214,0.31043734,0.340549501,0.366051432,-0.578260407,-0.21997379,0.110733057,0.322020434,-1.045976796,-0.438556116,0.218144682,0.52027662,1.990147707,-0.506365935,-0.201768056
13,IL,Illinois,50,0.457551781,0.224546057,0.224546057,0.427848563,-0.44061026,-1.182936437,-1.182936437,-0.136443182,-0.258367181,-0.359625694,0.168233858,-0.261227117,0.416946078,0.403638457,0.429830327,0.485145995,0.434913245,-0.183005663,-0.030314799,0.39989169,-0.245597628,0.011529412,-0.418281481,0.189301418,0.242445563,-0.150668105,-0.137468316,0.106823963,-0.237026636,0.23034329,-0.716675023,0.375687976,-0.686044801,-0.884773734,1.109749681,0.286011651,-0.152594886,-0.206712257,0.685946473,0.73597854,-0.351797086,-1.003786521,-0.339139356,0.480756612,-0.033568939
14,IN,Indiana,19,-0.362290219,-0.756701573,-0.756701573,-1.263387054,-0.683690674,-1.146967384,-1.146967384,0.019624845,0.043491331,0.117850528,0.380943964,0.190413908,-0.525252912,-0.52605427,-0.52443729,-0.536953033,-0.527046375,-0.826155981,0.951097857,-0.036108382,-0.196859977,-0.528113718,-0.382951593,-0.561614098,-0.542521859,0.37721185,0.37198968,-0.322773174,-0.109392025,-0.337179424,-0.417405292,1.168319327,0.597242694,-0.129992713,-0.442373055,-0.063415605,-0.408514578,-0.637459439,-0.687539186,0.950788563,-0.591168578,-0.973224154,-0.687079135,-0.114591662,-0.037114309
15,KS,Kansas,11,0.235740075,-0.558155488,-0.558155488,-1.263387054,-0.561747147,-1.045903538,-1.045903538,-0.209168386,-0.218429008,-0.26286323,-0.399012755,-0.314291717,-0.516860986,-0.516369499,-0.517300611,-0.528741206,-0.506745653,-0.593422156,0.872772457,-0.380608763,0.011927866,-0.404158812,-0.337433932,-0.126166741,-0.0404786,-0.277936257,-0.617032252,0.366528876,-0.465216609,-0.313945184,-0.252770087,-0.013332775,0.698007545,-0.390872663,-0.593499367,-0.044812761,-0.359613502,-0.328271368,-1.383698269,-0.068181572,0.345913982,-0.629375709,-0.10887156,-0.839237205,-0.02990686
16,KY,Kentucky,4,-1.57591574,0.302099485,0.302099485,-1.263387054,-0.734853712,-0.913523515,-0.913523515,-0.233774695,-0.185628481,0.860070506,-0.318496548,0.631825113,-0.52947832,-0.530549576,-0.528400471,-0.536508866,-0.528644196,-0.993296449,1.152417946,-0.077635226,-0.194214387,-0.631924443,-0.285203694,-0.722813314,-0.561525173,0.402096827,0.430732074,-0.573187131,-0.32798952,0.481167472,-0.338573864,1.321062867,0.637445937,-0.012545588,-0.377094265,0.104375852,-0.537130063,-1.260302912,-1.03023171,0.807730043,-0.433434019,-0.981733094,-0.673992132,-0.250461308,0.17617615
17,LA,Louisiana,9,-1.781662549,-1.723154995,-1.723154995,-1.263387054,-0.698356704,-0.484987233,-0.484987233,0.277547445,0.301679469,1.850211704,2.045559844,2.026450055,-0.540174632,-0.541899365,-0.538461843,-0.549227323,-0.546885807,-0.940638488,-0.282024863,2.258777834,-0.135880755,-0.669903302,-0.41733135,-1.099132828,-0.761168214,1.287580295,1.407649189,-0.622315508,1.316876975,0.012126252,0.548421566,-0.181856464,0.596061332,-0.082656147,-0.304841713,-0.247889894,0.138011504,-1.349009243,-0.82532796,-0.200886803,0.389124121,-0.396620243,-0.241151635,0.277498076,0.018526277
18,MA,Massachusetts,34,1.494027944,0.808887424,0.808887424,1.228960171,0.240382894,0.343729985,0.343729985,-0.140172951,-0.277050705,-0.883741174,-0.037425455,-0.738160085,-0.246411258,-0.250811478,-0.242123267,-0.216348226,-0.205231747,-0.400313064,0.672559153,-0.472371457,-0.242016571,-0.018967464,-0.423531656,0.751724703,0.852715323,-0.543252485,-0.554146636,0.880974891,0.004804081,-1.164091617,-0.620325353,-0.615826197,-0.771152935,-0.894541275,0.828642091,1.367446345,0.089070761,-0.060246872,0.592974512,0.452127927,-0.367660882,-0.257266803,-0.498472331,-0.2641042,-0.130485155
19,MD,Maryland,5,2.368355106,0.633463635,0.633463635,0.605873365,0.032249158,-0.043613026,-0.043613026,-0.189885869,-0.311595196,0.102046784,0.866114467,0.295944213,-0.387645894,-0.389961679,-0.385370539,-0.400294138,-0.362439498,-0.582739393,0.375521919,0.10846688,-0.221023034,0.19133631,-0.319942876,1.709900272,1.467911976,-1.330288104,-1.207736543,1.449255536,-0.803526041,-1.41556499,-0.355157248,-1.170031837,-0.400329329,-0.155373169,0.57367545,-0.228544687,-0.49484847,0.452781728,1.421406208,-1.531785701,1.773518434,-0.290007185,-0.524800301,-0.607329218,-0.21718113
