,State Abbreviation,State Name,Number of Cities,Average Household Income 2020/2021,"Percent Change in Household Income, 1984-2019","Average Yearly Percent Change in Household Income, 1984-2019",MinWage,Average House Price 2020/2021,"Percent Change in Housing Prices, 2000-2019","Average Yearly Percent Change in Housing Prices, 2000-2019",Violent Crime Total,Property Crime Total,Property Crime Per Capita,Violent Crime Per Capita,Total Crime Per Capita,TotalPop,Men,Women,VotingAgeCitizen,Employed,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Population
11,IA,Iowa,13,72229.5,41.49822122,1.152728367,7.25,192456.5481,61.99769515,3.099884758,4742.5,28868.5,0.023752769,0.003800635,0.027553404,3058929,1508273,1550656,2198598,1621107,7.293076923,79.75538462,6.615384615,0.338461538,3.394615385,0.156153846,57841.92615,29371.78538,15.43923077,16.79,34.98153846,17.99,23.64692308,8.145384615,15.23,79.91692308,8.737692308,2.124615385,3.755384615,1.738461538,3.733076923,18.24846154,81.53384615,13.81615385,4.53,0.116153846,5.074615385,79822.30769
12,ID,Idaho,7,73379.5,33.12013401,0.920003723,7.25,331170.5357,115.9531899,5.797659493,1455.5,6358,0.015061897,0.003520659,0.018582556,1276064,634523,641541,889015,583366,14.36857143,80.57857143,0.612857143,1.192857143,1.124285714,0.148571429,52243.60857,24758.25857,15.87285714,20.42428571,32.59857143,18.15,24.25285714,11.73285714,13.27571429,78.95857143,10.13,0.877142857,2.358571429,2.18,5.478571429,20.68285714,78.42,14.27571429,7.03,0.275714286,5.928571429,60585.14286
13,IL,Illinois,50,78529,33.27867744,0.924407707,12,257999.0268,34.26052166,1.713026083,5592.5,18620.5,0.019180016,0.004881499,0.023979041,121114292,58874623,62239669,82040366,58745520,17.975,56.8302,16.7158,0.108,6.2378,0.0252,68804.0814,33994.4812,14.5998,18.6564,37.7766,17.9196,24.255,6.5234,13.5286,71.2342,8.0238,11.0334,3.2188,1.8904,4.5994,28.8934,83.7188,11.8762,4.2726,0.1352,8.046,119375.9
14,IN,Indiana,19,70057.5,24.6279447,0.684109575,7.25,184873.4671,36.11228947,1.805614473,12462.5,59539,0.024848372,0.005629506,0.030477878,5650431,2751802,2898629,4027384,2710935,6.952105263,76.07894737,11.44684211,0.195263158,2.815789474,0.038421053,55971.87737,27913.60474,17.37421053,22.41421053,34.63105263,18.27684211,23.12368421,7.371578947,16.60052632,80.89,9.294736842,1.694736842,2.624736842,1.608947368,3.883157895,22.38210526,84.68789474,10.86842105,4.327894737,0.114210526,6.768947368,118136.6842
15,KS,Kansas,11,76237,26.37833784,0.732731607,7.25,221557.5771,41.31528369,2.065764184,1461,10608,0.020328731,0.002886743,0.023215474,3479487,1711480,1768007,2457920,1809109,10.94090909,74.54272727,7.283636364,0.569090909,3.601818182,0.055454545,63413.12636,31802.76364,13.93090909,15.11909091,39.67818182,17.28090909,23.17,7.838181818,12.02090909,81.64818182,8.855454545,0.785454545,2.656363636,1.662727273,4.397272727,19.08181818,80.09090909,14.81363636,4.95,0.149090909,5.214545455,120655.9091
16,KY,Kentucky,4,57517,33.9623927,0.943399797,7.25,169482.158,48.13050523,2.406525261,541,6131,0.033659632,0.003169883,0.036829515,1151447,559354,592093,850354,563865,4.0875,80.0275,10.945,0.2,2.1575,0.075,53217.185,27766.3925,17.505,22.8475,32.7975,17.665,24.755,7.595,17.1925,81.1925,9.4925,2.0875,2.91,1.4675,2.8475,20.7575,84.0425,11.5325,4.3125,0.115,6.4775,192688.25
17,LA,Louisiana,9,55391,16.10763852,0.447434403,7.25,180461.5046,70.19251756,3.509625878,13436.5,55252.5,0.045414087,0.011483225,0.056897313,2373650,1145085,1228565,1753279,1092529,4.99,51.89333333,39.18,0.304444444,1.916666667,0.025555556,46786.35667,26219.82556,22.15888889,30.05333333,32.43777778,22.26888889,23.82,10.10888889,11.36777778,80.88111111,9.374444444,2.522222222,2.311111111,2.21,2.7,21.72888889,79.49222222,14.99555556,5.371111111,0.141111111,7.61,137584.7778
18,MA,Massachusetts,34,89239,38.43026286,1.067507302,14.25,462861.2966,112.8567451,5.642837257,14301,43361,0.012957982,0.004158286,0.017116268,31492462,15319005,16173457,22445302,16592122,14.25058824,70.61588235,6.174705882,0.114411765,6.044411765,0.023235294,78415.18971,38722.03412,12.53647059,15.58294118,43.445,18.59647059,21.47529412,6.796470588,9.685882353,70.59382353,8.007352941,9.342058824,5.057352941,2.156176471,4.842941176,28.45264706,82.43823529,11.80941176,5.623235294,0.125588235,6.448235294,85500.70588
19,MD,Maryland,5,98273.5,36.88371716,1.024547699,12.5,400248.7,92.9154551,4.645772755,293,985,0.024660758,0.007335637,0.031996395,3038647,1479986,1558661,2015047,1596560,11.124,64.79,13.194,0.152,7.378,0.062,94789.208,43487.754,8.4,10.762,47.606,16.334,20.974,7.548,7.538,73.384,9.252,7.808,2.344,1.514,5.696,32.38,73.488,20.824,5.564,0.124,5.712,55197.8
20,ME,Maine,1,68903,37.13224571,1.03145127,12.75,398425.9583,121.1457142,6.057285709,140.5,1171.5,0.017601113,0.002110342,0.019711455,289173,140510,148663,226819,157303,2.19,90.01,3.31,0.15,2.07,0,66886.85,36358.98,11.8,15.41,44.69,16.72,23.61,7.14,7.83,74.78,8.18,1.89,5.98,2.08,7.07,23.15,81.81,10.13,7.98,0.08,4.13,66318
