,State Abbreviation,Average Household Income 2020/2021,"Percent Change in Household Income, 1984-2019","Average Yearly Percent Change in Household Income, 1984-2019",MinWage,City,Average House Price 2020/2021,"Percent Change in Housing Prices, 2000-2019","Average Yearly Percent Change in Housing Prices, 2000-2019",Violent Crime Total,Property Crime Total,Property Crime Per Capita,Violent Crime Per Capita,Total Crime Per Capita,State,County,TotalPop,Men,Women,VotingAgeCitizen,Employed,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Population
0,NY,-0.13631712469150242,0.8512259500948026,0.8512259500948023,0.8551080875650446,New York,1.045961133651412,1.2301306312826745,1.2301306312826743,18.37820404385774,14.963376207122977,-0.6624571101191529,0.42315116141974723,-0.4430386131901309,New York,Queens County,0.38014048117033133,0.36451059946227343,0.3952810243476067,0.32284627717413034,0.40458153993233364,0.2968965313620778,-1.5695860979951488,0.5740117668657724,-0.17745898175883296,2.7715857961205845,-0.40545470662621025,0.07971341958734661,-0.3249242025473668,-0.45505793565721026,-0.4271066727762487,-0.4663186846175164,1.9782375596097312,-0.24873089671193255,-0.10393661959571403,-0.3438383270983749,-5.687753438922755,-1.6947041124027344,7.58947672989506,1.6278108288225437,-0.5530424906532688,-1.3129253120857283,3.8282195990839094,-0.2035959864625223,0.2262883552191547,0.006249376617128041,-0.5911077814611994,-0.016201183523077603,23.673821641698474
1,CA,0.7379616486487173,0.014144149250899497,0.014144149250899544,1.139947770466883,Los Angeles,1.393000576384568,1.8829401687222647,1.882940168722264,10.94683889330507,9.795924868334883,-0.1658984537392886,0.8330718973667598,0.06680961214259003,California,Los Angeles County,3.823856390267583,3.8266694500747125,3.820850223284808,3.7595715443159685,3.818642504624708,1.5612710656935807,-1.5415439116389906,-0.34036274401974503,-0.14953330708481502,1.2608419948806637,0.15571668363379,0.028345692950659244,-0.09383754297460722,0.36689735255495515,0.3415927656557807,-0.23960734809351406,0.2883143856895257,0.17265372866079765,-0.22390152633423324,0.3218641264720282,-0.45136418849506155,0.08692892343085495,0.39616962783005805,0.0926118752328037,0.25621810884544444,0.2507117126178244,1.1282010706135548,-0.2390616664116672,-0.5124106844002068,1.7859996169794967,0.07196702303842024,0.41735486686997236,10.737819597240911
2,IL,0.4575517808433945,0.22454605701900573,0.22454605701900537,0.42784856321228787,Chicago,-0.3631979318220082,-0.8687983297831079,-0.8687983297831077,,,,,,Illinois,Cook County,1.6657010030058395,1.6309222680577764,1.699331664493188,1.8425925807279553,1.6897737958804555,0.14519492595082237,-0.9103397896585608,1.389915176579003,-0.25006573591127956,0.008722393435468073,-0.4321771537814484,-0.2433102948558467,0.12118542142331565,0.4924738549207026,0.44869550928211266,-0.0006044330832711541,0.40264322620844034,-0.028005616754789273,-0.9401625871553926,0.41475284092371223,-2.2043584578641293,-0.8395202552026118,2.772886161090907,0.8455063812078485,0.34714626609249094,-0.30257523458497104,1.6871892815859333,0.6719629872819337,-0.3200164007694405,-0.9112616168616081,-0.5911077814611994,1.564180548554814,7.403277134210387
3,TX,-0.41609794533867706,-0.7552474301028702,-0.75524743010287,-1.263387054017375,Houston,-0.588687017012552,-0.388226991310843,-0.38822699131084276,10.95365594473531,11.118277914769786,1.5141083953674306,2.2879563981512394,1.8083972082167954,Texas,Harris County,1.3495401142827486,1.3701590762294866,1.3294329704640548,1.1748974926848232,1.3719457511708697,1.2362795494856216,-1.347288038880878,0.5574620019628671,-0.21096979136765445,0.026069138543650935,-0.35200981231573397,-0.13543754225638224,-0.012979479782592456,0.5134032719816605,0.736110466861637,-0.4390040657592026,-0.21901984411315809,-0.655066071178495,1.3991530942457333,0.3012221899272095,0.27295869005394724,0.9064801199143055,-0.21878499965701476,-0.5602888291674307,-0.03475199434510402,-0.7716663419960369,0.529134459609195,0.6697463822851112,-0.8734468709665825,0.35998855482579784,-0.09380167808648478,-0.13274850889755344,5.907362804994074
4,PA,-0.04263748637034539,1.8501640273078779,1.8501640273078788,-1.263387054017375,Philadelphia,-0.6022433209899479,0.8563063114788899,0.8563063114788896,,,,,,Pennsylvania,Philadelphia County,0.03888215861965057,0.01194047744834253,0.06502487986728776,0.11877623337536337,-0.03957160833988611,-0.5047881064650958,-1.0872604926692304,2.502059378054238,-0.17745898175883296,0.08126332752423256,-0.40545470662621025,-1.23686187787191,-0.7221856837093854,2.046958740266395,1.5183672146134548,-0.004701625912018331,2.0068197697394594,-0.6701155220846627,-1.1024680492133891,-0.28965324366822603,-3.574591279486199,-0.7029283891220364,3.705290339524009,3.374761362217766,1.2564278385629555,-0.8077502733353497,1.5332038498841076,0.6542301473073597,-0.16800116432044002,-1.2042018738156626,-1.088413884835914,2.240155035726774,4.068471461118649
5,AZ,-0.31748270623820285,1.0273718396985418,1.027371839698542,0.7126882461141262,Phoenix,-0.25878939080915864,-0.013200919503853997,-0.013200919503853582,5.011719145240885,5.650088975328054,0.5429375216443356,1.050765641232266,0.7048128094633694,Arizona,Maricopa County,1.185470534769717,1.1940662268390412,1.1770432147139935,1.298860750303027,1.1376814740374666,0.4917747475442292,-0.0007532358515440638,-0.5745419173958548,0.6770666632661154,-0.376059952600587,0.022104447857599487,-0.07105657237859851,-0.17492280082676093,0.14047911344095565,0.250758793213195,-0.07162244211488662,-0.06896324093208217,1.4669065065913254,0.05131208324236956,-0.6044427759767109,-0.09252533123224968,0.7817658074059548,-0.33845184608693163,-0.595580759135011,0.5562810277606978,1.0866561219785695,0.012334038144166394,0.5079342175171476,-0.5717916361380976,0.07257547253125363,-0.25957037921138937,-0.3145623364817359,3.9546102218113073
6,TX,-0.41609794533867706,-0.7552474301028702,-0.75524743010287,-1.263387054017375,San Antonio,-0.534322740779154,-0.28099105940946867,-0.2809910594094685,3.9346250192631045,6.799019646707498,1.2374596225216556,0.7228461002772004,1.1976668001402213,Texas,Bexar County,0.18181395314663887,0.18314385944150213,0.18051021253492494,0.2144014963108594,0.14843195792139235,2.3069428030612142,-1.5073834300778528,-0.41483668608281876,-0.19421438656324372,-0.587374847554814,-0.2451200236947816,-0.4638934869813944,-0.7791663626480283,0.4106588609551399,0.6547666109429034,-0.6097204336236618,0.7277658664341037,0.9652581430523609,0.6370230984951402,-0.3335173588259658,0.25701029639782164,1.0252556556365455,-0.1938544066507821,-0.48970496923227025,-0.5894137535520875,-0.6092886509691295,-0.18805796201574257,0.0889958731179018,0.031518833518872906,-0.270109356358395,-0.7568764825861042,-0.2632815133169665,3.6560727928138093
7,CA,0.7379616486487173,0.014144149250899497,0.014144149250899544,1.139947770466883,San Diego,1.1587379482142623,1.2335540791877186,1.2335540791877186,1.7814106317975769,2.585659089656775,-0.4892296897448176,-0.15985952954981977,-0.4426023812358336,California,San Diego County,0.798889974028555,0.8300642401573263,0.768579223826875,0.8905919024115919,0.7714893658280688,0.7070743336855878,-0.5060224481961367,-0.5960566117696318,-0.09926709267158278,0.6726296380304647,0.5298309438071236,0.5754455417312045,0.3536713935619316,-0.37704829024818526,-0.4881145647152985,0.42413789016350334,0.5419815005908677,-0.35407705305511555,-0.16744745257493002,-0.8856891613998658,-0.04600918306855265,-0.3822344426719908,-0.17889605084704252,-0.12502169290060777,0.1743827673231028,1.2490338130054768,0.04397488027467881,-0.7377977906964837,0.3070464495826861,1.1061571338597098,0.5692731264131349,0.10966992788135609,3.5040890093140384
8,TX,-0.41609794533867706,-0.7552474301028702,-0.75524743010287,-1.263387054017375,Dallas,-0.46206151167591974,-0.17797632704752117,-0.1779763270475212,4.106609488203137,5.111378990378755,0.9168790698213798,1.1542173361213814,1.038603181147998,Texas,Dallas County,0.47455704407929344,0.475894305297699,0.47322501810831474,0.3655360372820346,0.5068490236085069,1.0063932705162577,-1.2555136108061788,0.747784298346278,-0.2053846564328509,-0.0638185406532964,-0.3787322594709721,-0.2028749097170529,0.11307224847459668,0.4430043236857109,0.7957626278687077,-0.48680464876125135,-0.25832038304153476,0.00710976869293839,1.1733367992085209,0.24445686442895792,0.19055865616396767,0.9302352270587539,-0.1938544066507821,-0.7191025140215417,-0.016566362895694714,-0.35068714303738807,0.2760077225650995,0.873674041992681,-1.0824678210839578,0.33787985618775596,0.23773572416332528,-0.4870523780359602,3.2230836591766683
9,CA,0.7379616486487173,0.014144149250899497,0.014144149250899544,1.139947770466883,San Jose,2.5502234714775205,1.0396813045877393,1.039681304587739,1.4002400703982067,2.4086671288368784,-0.024140482570915688,-0.011497651091702124,-0.02263820747806772,California,Santa Clara County,0.19033717487476962,0.2108187310659847,0.17044711724459913,0.1426519685394359,0.24143052478986712,0.272974355124149,-1.2019785277626043,-0.784723931662752,-0.21655492630245804,4.362755415589353,0.4496636023414092,2.782436120312763,2.2460970604632866,-1.2617918296432244,-1.372051132365533,2.0438947884614924,-1.290852723977981,-2.566346336261949,-0.7284598105580055,-1.0766270744394388,-0.1789124635362606,0.5620310663198126,-0.017678216073404477,-0.3544192376898794,0.9109008410241789,0.07029205592126021,0.503821785904786,0.8515079920244649,-0.9257021084959262,0.0559939485527226,-0.7568764825861042,-0.6035997034104361,2.4816924412042813
10,TX,-0.41609794533867706,-0.7552474301028702,-0.75524743010287,-1.263387054017375,Austin,0.2923058540198299,-0.11425472554539562,-0.11425472554539554,1.5788468178704718,3.75422248274061,0.9621103323154112,0.1427187751803555,0.8287241094549863,Texas,Travis County,-0.13541023209627623,-0.12228625108480576,-0.14813660554108943,-0.1281445208986841,-0.05817094894395276,0.6662315937671731,-0.31023700163677875,-0.3585674854129408,-0.14394817215001146,-0.05120272602916343,-0.3787322594709721,0.4646855087040231,0.9932321071260761,-0.03266424588151405,-0.10444271096527362,1.4498018282931742,-0.9514389786874539,-1.0915001474573929,-0.03689740700654166,-1.4636633846547895,-0.4128222371594254,-0.06154049622194417,-0.0575671648833768,-0.3485372493619492,0.4835385019630605,2.1812020392710565,-0.16907345673743543,-0.6136679108744844,0.2832940688875299,0.8850701474792917,-0.25957037921138937,-1.1350555071180457,2.1580098684238735
11,IN,-0.3622902191955331,-0.7567015732964008,-0.7567015732964005,-1.263387054017375,Indianapolis,-0.7130350632809817,,,2.200756681206286,3.2396666947973207,0.9238071868322733,0.8212116163347462,0.9629372065585646,Indiana,Marion County,-0.24032984115414233,-0.24902978075839977,-0.23186963119914936,-0.22096567076700319,-0.23990453005721235,-0.647154228466428,-0.1384148779635924,1.4726640010935295,-0.18862925162844016,-0.5794899634147308,-0.40545470662621025,-1.0753198838562257,-0.8335162306925606,1.2154900806628852,1.4139759328510806,-0.6629839403973732,0.1882766502354751,0.5639394522211906,-0.17803259140479913,0.9566036752252031,0.586610431957738,0.045357485928071026,-0.2752943438044755,-0.4073571326412496,-0.26207238746272016,-1.1144636897195082,-0.5508729517789464,1.2238976314904628,-0.8971992516617388,-0.9444246648186712,-0.5911077814611994,0.9021917404277913,2.0378287266684216
