city_id,State,County,State Abbreviation,city_name_id,city_state,city,City,state_id,county_name,state_name,lat,lng,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,city_county,city_st_abbr
19,Tennessee,Shelby County,TN,"Memphis, Tennessee, Shelby County","Memphis, Tennessee",Memphis,Memphis,TN,Shelby,Tennessee,35.1087,-89.9663,19,17,28,44,34,101,103,116,75,12,59,898,8,43,14,810,902,58,143,737,463,"Memphis, Shelby County","Memphis, TN"
20,Washington,King County,WA,"Seattle, Washington, King County","Seattle, Washington",Seattle,Seattle,WA,King,Washington,47.6211,-122.3244,20,41,190,274,687,406,26,291,167,42,615,21,578,319,140,338,206,9,396,84,762,"Seattle, King County","Seattle, WA"
21,Colorado,Denver County,CO,"Denver, Colorado, Denver County","Denver, Colorado",Denver,Denver,CO,Denver,Colorado,39.762,-104.8758,21,10,50,42,37,20,151,14,26,34,36,16,8,41,12,68,249,172,71,216,7,"Denver, Denver County","Denver, CO"
22,Massachusetts,Suffolk County,MA,"Boston, Massachusetts, Suffolk County","Boston, Massachusetts",Boston,Boston,MA,Suffolk,Massachusetts,42.3188,-71.0852,22,896,628,65,457,643,491,650,804,458,98,371,60,493,237,13,231,783,538,583,228,"Boston, Suffolk County","Boston, MA"
23,Tennessee,Davidson County,TN,"Nashville, Tennessee, Davidson County","Nashville, Tennessee",Nashville,Nashville,TN,Davidson,Tennessee,36.1715,-86.7842,0,605,606,607,608,609,610,611,612,613,614,615,604,616,618,619,620,621,622,623,624,"Nashville, Davidson County","Nashville, TN"
24,Oklahoma,Oklahoma County,OK,"Oklahoma City, Oklahoma, Oklahoma County","Oklahoma City, Oklahoma",Oklahoma City,Oklahoma City,OK,Oklahoma,Oklahoma,35.4676,-97.5136,24,43,16,589,73,14,12,46,59,326,34,661,75,79,68,202,526,258,57,918,233,"Oklahoma City, Oklahoma County","Oklahoma City, OK"
25,Kentucky,Jefferson County,KY,"Louisville, Kentucky, Jefferson County","Louisville, Kentucky",Louisville,Louisville,KY,Jefferson,Kentucky,38.1663,-85.6485,0,605,606,607,608,609,610,611,612,613,614,615,604,616,618,619,620,621,622,623,624,"Louisville, Jefferson County","Louisville, KY"
26,Oregon,Multnomah County,OR,"Portland, Oregon, Multnomah County","Portland, Oregon",Portland,Portland,OR,Multnomah,Oregon,45.5371,-122.65,26,228,20,42,134,21,41,190,274,687,406,291,354,543,30,509,167,329,319,10,140,"Portland, Multnomah County","Portland, OR"
27,Nevada,Clark County,NV,"Las Vegas, Nevada, Clark County","Las Vegas, Nevada",Las Vegas,Las Vegas,NV,Clark,Nevada,36.2333,-115.2654,0,605,606,607,608,609,610,611,612,613,614,615,604,616,618,619,620,621,622,623,624,"Las Vegas, Clark County","Las Vegas, NV"
28,Wisconsin,Milwaukee County,WI,"Milwaukee, Wisconsin, Milwaukee County","Milwaukee, Wisconsin",Milwaukee,Milwaukee,WI,Milwaukee,Wisconsin,43.0642,-87.9675,28,34,44,75,12,58,59,57,14,64,143,17,157,535,19,116,374,38,68,137,728,"Milwaukee, Milwaukee County","Milwaukee, WI"
