,State Abbreviation,Average Household Income 2020/2021,"Percent Change in Household Income, 1984-2019","Average Yearly Percent Change in Household Income, 1984-2019",MinWage,City,Average House Price 2020/2021,"Percent Change in Housing Prices, 2000-2019","Average Yearly Percent Change in Housing Prices, 2000-2019",Violent Crime Total,Property Crime Total,Property Crime Per Capita,Violent Crime Per Capita,Total Crime Per Capita,State,County,TotalPop,Men,Women,VotingAgeCitizen,Employed,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Population
890,AZ,-0.317482706,1.02737184,1.02737184,0.712688246,Bullhead City,-0.482198665,-0.587360507,-0.587360507,-0.261951841,-0.296721922,0.303312195,-0.471482269,0.135102336,Arizona,Mohave County,-0.56635704,-0.563557308,-0.569033123,-0.573738117,-0.594989967,-0.295906665,0.961348685,-0.895607357,1.671220682,-0.782919974,-0.138230235,-1.436252759,-1.082135605,0.781680345,0.94489303,-1.802003547,2.610618959,1.376609801,0.838140736,0.200592749,0.318145805,1.678521102,-0.498007641,-0.483822981,0.292589372,-1.036281838,-0.957985121,-0.525003711,0.352175973,0.476059223,0.403504425,1.517561618,-0.26242694
891,TN,-1.349749093,1.39232214,1.39232214,-1.263387054,Germantown,0.020016032,-1.144083243,-1.144083243,-0.284935043,-0.364544052,-0.816062034,-0.864787959,-0.884519074,Tennessee,Shelby County,-0.24126854,-0.254154223,-0.22874621,-0.21253974,-0.259083527,-0.897461877,-1.236139009,3.770598858,-0.244480601,-0.664646712,-0.432177154,-1.015563595,-0.820159508,1.786292364,2.099975784,-0.825505923,0.60986425,0.222818565,-0.520285414,1.382343616,0.537436218,0.562031066,-0.298562897,-0.454413039,-0.353000545,-1.216701495,-0.660561204,0.248591433,-0.008860214,-0.563049613,-1.254182586,1.606137586,-0.262449828
892,CA,0.737961649,0.014144149,0.014144149,1.13994777,La Quinta,0.505708036,-0.279358759,-0.279358759,-0.286103681,-0.32742036,-0.27571289,-0.910142683,-0.449805687,California,Riverside County,0.387111769,0.398433474,0.376096665,0.375352579,0.252084281,1.526263003,-0.95214814,-0.519100205,-0.082511688,-0.137936452,0.209161578,-0.16579612,-0.73601874,0.182337948,0.322612533,-1.151915618,1.135062361,0.428494394,1.116882725,0.319283884,0.051010212,1.868561959,-0.499669681,-0.536760876,-0.216608309,0.377005472,1.313827344,-0.582635441,0.133654071,1.133793007,0.071967023,1.3963524,-0.262575711
893,OH,-1.05075814,-1.396314957,-1.396314957,-0.533485367,Lancaster,-0.676604583,-1.050138883,-1.050138883,-0.264873435,-0.318317916,-0.060908533,-0.521561226,-0.177624663,Ohio,Fairfield County,-0.589930918,-0.588526812,-0.591250914,-0.607758017,-0.59361072,-1.126181221,1.620085136,-0.509997834,-0.250065736,-0.786073928,-0.458899601,-0.159230395,-0.420800349,-0.793733957,-0.504383336,-0.351597285,-0.294048146,0.704400994,-0.09687986,0.585048817,1.136830013,-0.797948818,-0.640943041,-0.536760876,-0.998590461,-0.801736285,0.512259344,0.100078898,0.176408356,-0.684647456,0.569273126,-0.668866206,-0.262592877
894,WI,-0.343854299,0.778758422,0.778758422,-1.263387054,Wausau,-0.741891881,,,-0.239358185,-0.358237783,-0.67653258,0.007317839,-0.556274782,Wisconsin,Marathon County,-0.597128788,-0.595224059,-0.598934093,-0.615757608,-0.593743053,-1.063166708,1.538507866,-0.92208698,-0.149533307,0.054454721,-0.405454707,-0.542967753,-0.389961256,-0.744264426,-0.360675857,-0.549628272,-1.315862158,0.308098787,-0.00867037,1.83646622,0.768687926,-0.726683496,-0.630970804,0.03967398,-0.698527542,-0.019917772,-1.373534847,1.022186577,-0.958955441,-0.397234374,2.55849754,-1.177012544,-0.262638652
895,TX,-0.416097945,-0.75524743,-0.75524743,-1.263387054,Sherman,-0.679179138,,,-0.228840449,-0.328491235,-0.425289472,-0.02195569,-0.356148883,Texas,Grayson County,-0.601184656,-0.601026419,-0.601294788,-0.62370641,-0.606546758,-0.501870768,0.916481187,-0.47441584,0.509512615,-0.743495554,-0.325287365,-0.835435099,-0.804514058,-0.055496337,-0.094952594,-0.962079017,0.084666139,0.36829659,0.862839394,0.930801255,0.074932802,2.509949852,-0.674183832,-0.442649063,-0.425743071,0.286795644,-0.128995057,-0.110498577,-0.22263164,0.735836432,1.563885333,0.212231574,-0.262675845
896,FL,-1.326232407,-0.654708389,-0.654708389,-0.284250644,Ocoee,-0.293517214,-0.024301642,-0.024301642,-0.252602742,-0.294223212,-0.065158429,-0.467327406,-0.167876938,Florida,Orange County,-0.085024698,-0.085810158,-0.084256307,-0.059852207,-0.061078552,0.425842896,-0.708945906,0.715512257,-0.238895466,-0.276710412,-0.325287365,-0.659071069,-0.501804282,0.463933741,0.607316028,-0.219121384,1.002869639,1.155884521,-0.329752915,-0.663788344,0.2490361,0.187888129,-0.190530328,-0.754394444,0.228939662,-0.013903784,0.318195512,1.301478806,-1.042088774,-0.822826822,0.071967023,0.030417747,-0.263030606
897,MN,0.738881025,1.189456405,1.189456405,-0.166754275,Shakopee,-0.218095548,-0.49691332,-0.49691332,-0.285324589,-0.318496395,-0.18597636,-0.907140169,-0.37503772,Minnesota,Scott County,-0.59439295,-0.592966135,-0.595734662,-0.619234136,-0.587674363,-0.911465103,1.228514242,-0.697837666,0.174404519,-0.052779703,-0.485622048,1.55777746,0.685971983,-1.712725634,-1.698782287,0.366777191,-1.408754341,-0.098236388,0.097181018,0.293481464,0.921526699,-1.296806068,-0.384988953,-0.972028012,-1.125889881,0.268753678,0.050303049,1.452207946,-0.994584013,-1.303691018,-0.42533908,-1.52665452,-0.263044911
898,MA,1.494027944,0.808887424,0.808887424,1.228960171,Woburn,0.610130012,0.183505485,0.183505485,-0.284155952,-0.381023639,-1.137246361,-0.860410281,-1.14843188,Massachusetts,Middlesex County,0.044735167,0.039579338,0.049735405,0.105559705,0.144118081,-0.771432851,0.78493784,-0.576196894,-0.238895466,0.816134529,-0.432177154,1.993189764,2.04090801,-1.278915898,-1.388319904,2.504146116,-1.519510405,-2.501132049,-1.201262678,-1.468823869,-1.274035495,-1.575928577,1.355166439,1.586636911,0.474445686,0.521341198,0.921480902,0.556699527,-0.626422112,0.100211346,-1.088413885,-1.013846289,-0.263285234
899,WA,1.219521442,1.014212342,1.014212342,1.314412076,Bremerton,-0.010694693,1.129864284,1.129864284,-0.244811826,-0.268224729,0.711817732,-0.198812166,0.538763136,Washington,Kitsap County,-0.542318912,-0.537512859,-0.546943764,-0.54580071,-0.55560872,-0.810525188,1.025590785,-0.759071796,0.191159924,-0.243593899,1.491839041,0.272149431,0.233939808,-0.945947899,-0.881276535,0.340828303,0.109675572,-1.282126526,0.577040645,-0.483171399,-0.976332146,-0.821703925,0.791735037,1.333711412,0.583559475,0.629592992,1.039606713,-3.315709402,3.413857845,0.321298332,0.071967023,-0.086129579,-0.26336248
900,IL,0.457551781,0.224546057,0.224546057,0.427848563,Rock Island,-0.967137888,,,-0.215985437,-0.320876119,0.108453332,0.525830264,0.244428394,Illinois,Rock Island County,-0.592290301,-0.591576089,-0.592940619,-0.611980639,-0.596213583,-0.42485303,0.589152393,-0.022607258,-0.160703577,-0.555835311,-0.405454707,-0.927318381,-0.659047513,0.130965742,0.481233052,-1.315803331,0.813512497,-0.604901235,-0.068652823,2.25962592,0.639771744,-0.245642577,-0.368368558,0.00438205,0.33805345,-1.5294289,-1.390409963,0.913572932,-0.483907828,-1.110239905,-1.254182586,0.575859229,-0.263874595
901,OK,-1.57673834,-1.337723949,-1.337723949,-1.263387054,Muskogee,-1.027949632,-1.366405654,-1.366405654,-0.14898356,-0.281134731,0.869552227,1.859138599,1.171830296,Oklahoma,Muskogee County,-0.626314903,-0.625854578,-0.626716379,-0.651929236,-0.634981625,-0.875290104,-0.20214712,0.277770975,9.211152844,-0.861768816,-0.298564918,-1.403985323,-1.457889756,1.569387496,1.847809831,-0.986662174,0.624155355,-0.589851784,0.53470009,1.330738775,0.582623334,0.74019437,-0.607702251,-0.183841576,0.047083347,-1.018239873,-1.24064331,-1.841667079,1.972088336,-0.021386497,1.06657923,0.300807541,-0.263914649
902,MO,-0.915851718,-0.815503763,-0.815503763,0.1252064,Cape Girardeau,-0.762506882,,,-0.20001406,-0.283633441,0.474083419,0.589713929,0.535332595,Missouri,Cape Girardeau County,-0.622527297,-0.622359658,-0.622645011,-0.64577807,-0.625078068,-1.085921949,1.306522506,-0.121078359,-0.183044117,-0.670954619,-0.458899601,-1.200265862,-1.033118358,1.344871932,0.394466272,-0.637035052,1.417311686,0.197736147,-0.075709583,0.13866694,0.637113679,0.59172495,-0.634294883,0.210251642,-0.589413754,-1.018239873,-1.331347058,0.115595133,0.221537879,-0.795190949,-0.591107781,-0.244633941,-0.264049115
903,MD,2.368355106,0.633463635,0.633463635,0.605873365,Annapolis,0.307577269,0.092155462,0.092155462,,,,,,Maryland,Anne Arundel County,-0.406769889,-0.404740996,-0.408709441,-0.389486428,-0.389170808,-0.814609462,0.677867674,0.274461022,-0.222140061,-0.426523211,-0.271842471,1.86005243,1.394191956,-1.720336331,-1.621505624,1.247673649,-1.008603399,-0.173483642,-0.347394813,-1.285626682,0.492249103,-1.059254996,-0.142331181,-0.319127308,-0.453021518,-0.013903784,0.843433491,-1.788468559,2.302246428,-0.86704422,-0.756876483,-0.724808922,-0.264318047
904,FL,-1.326232407,-0.654708389,-0.654708389,-0.284250644,Greenacres,-0.609902581,0.290347854,0.290347854,,,,,,Florida,Palm Beach County,-0.02447444,-0.034206516,-0.015028188,0.022738937,-0.049141537,-0.123200222,0.136908406,0.401066724,-0.255650871,-0.606298569,-0.405454707,-0.124516904,1.00510561,-0.358021547,-0.208833993,0.039001764,0.827803602,1.351527383,-0.093351481,-1.29594765,0.110816688,-0.215948693,-0.393299151,-0.648518654,0.065268979,1.76022284,-0.141651394,0.558916132,-0.894824014,0.669510336,0.735041828,0.244864825,-0.264392432
905,FL,-1.326232407,-0.654708389,-0.654708389,-0.284250644,Ormond Beach,-0.320780793,0.102150823,0.102150823,-0.241305914,-0.305645886,-0.005944897,-0.185750462,-0.050211405,Florida,Volusia County,-0.427140132,-0.428985769,-0.425318179,-0.394802082,-0.462431224,-0.557883668,0.840002497,-0.097908688,-0.143948172,-0.718263924,-0.352009812,-1.166270388,-0.744716681,0.247028873,0.33345838,-0.776339609,0.99215131,1.065587816,0.834612357,-0.408344379,0.408520036,-0.400050773,-0.522938234,-0.707338537,0.774508605,0.659662934,-0.126885667,0.494634588,-0.464905923,-0.148511514,-0.259570379,-0.174705546,-0.264492567
906,CA,0.737961649,0.014144149,0.014144149,1.13994777,Stanton,0.649082969,1.989190895,1.989190895,-0.254160925,-0.333131697,-0.200770028,-0.266204641,-0.230607362,California,Orange County,0.742200484,0.746425628,0.73804658,0.757131142,0.794716641,0.671482803,-0.666627697,-0.855060433,-0.183044117,1.880593888,0.342773814,1.249478641,0.886966968,-0.767096517,-0.790442563,0.557979523,-0.501269169,0.669285609,-0.654363839,-0.560578661,0.292894182,0.027541156,-0.376678755,-0.460295028,-0.071123257,0.527355186,0.394133533,0.186526493,-0.659675445,1.045358213,0.735041828,-0.542995094,-0.264601284
907,WA,1.219521442,1.014212342,1.014212342,1.314412076,Puyallup,0.215470719,0.152009091,0.152009091,-0.258056383,-0.109854107,3.268051356,-0.4409306,2.588530013,Washington,Pierce County,-0.282352224,-0.278170322,-0.28639015,-0.251778009,-0.302820588,-0.620314714,0.533577879,-0.449591192,0.258181543,-0.025971097,3.362410342,0.056649702,-0.120587132,-0.485500724,-0.465067139,-0.462221492,-0.093972675,0.177670212,0.721704209,0.319283884,0.286249018,-0.031846612,-0.115738549,-0.266189413,-0.553042491,-0.194323441,1.176717029,-0.99049076,1.421033104,-0.817299648,-0.591107781,-0.002215504,-0.264641338
908,CA,0.737961649,0.014144149,0.014144149,1.13994777,Pacifica,2.68965056,1.261046611,1.261046611,-0.272080032,-0.343721468,-0.418049437,-0.617015618,-0.495599786,California,San Mateo County,-0.318597865,-0.317805528,-0.319343773,-0.334552995,-0.282694756,0.106686057,-0.742086672,-0.81368602,-0.233310331,3.20210047,2.747794058,3.011634924,3.135520265,-1.6042732,-1.57269931,1.815817721,-0.983593965,-1.267077075,-1.00367342,-1.332071039,-0.89260308,0.25915345,0.919712081,-0.13678567,0.601745106,0.196585816,0.543900186,-0.028484192,-0.531412589,1.288553898,0.569273126,-1.102422256,-0.26464992
909,IL,0.457551781,0.224546057,0.224546057,0.427848563,Hanover Park,-0.521073505,-0.897561919,-0.897561919,,,,,,Illinois,DuPage County,-0.243938309,-0.244718299,-0.243163748,-0.22596157,-0.206306803,-0.426019965,0.557541202,-0.623363724,-0.272406276,0.811403599,-0.405454707,1.485384784,1.323160062,-1.65754808,-1.522537266,1.23538207,-2.080436279,0.879977921,-1.130695086,-0.45994922,0.120119918,-1.486846925,0.42276226,-0.660282631,-0.889476672,0.695746866,0.775933028,1.365760351,-0.994584013,-1.093658381,0.237735724,-0.860003819,-0.264924574
910,TX,-0.416097945,-0.75524743,-0.75524743,-1.263387054,Hurst,-0.422316437,0.03013588,0.03013588,-0.274417307,-0.317663492,0.081623285,-0.65489213,-0.092617587,Texas,Tarrant County,0.222461766,0.217863489,0.226908089,0.220230046,0.24856254,0.481272329,-0.486647847,0.311697993,-0.155118442,-0.278287389,-0.004617999,0.001041172,-0.227781704,-0.049788314,0.117897162,-0.350231554,-0.540569708,0.438527361,0.538228469,0.435394777,0.688945958,0.787704584,-0.604378171,-0.813214327,-0.698527542,-0.428868994,0.168428859,0.596598417,-0.588418303,-0.115348466,-0.093801678,-0.626909168,-0.265101955
